Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.2,0.5109,1.425,,,,,0.2685,0.0806,0.0335,0.0873,,,,
1.2,0.4812,1.475,,,,,0.4521,0.0743,0.0441,0.0864,,,,
1.2,0.4539,1.525,,,,,0.6194,0.0618,0.0422,0.0748,,,,
1.2,0.4287,1.575,,,,,0.4443,0.0581,0.0349,0.0678,,,,
1.2,0.4056,1.625,,,,,0.4167,0.0589,0.0298,0.066,,,,
1.2,0.3841,1.675,,,,,0.4917,0.056,0.03,0.0635,,,,
1.2,0.3643,1.725,,,,,0.4947,0.0543,0.0334,0.0637,,,,
1.2,0.3459,1.775,,,,,0.3306,0.0511,0.0358,0.0624,,,,
1.2,0.3289,1.825,,,,,0.2327,0.0502,0.035,0.0612,,,,
1.2,0.313,1.875,,,,,0.2673,0.0471,0.0401,0.0619,,,,
1.2,0.2982,1.925,,,,,0.2261,0.0457,0.0414,0.0617,,,,
1.2,0.2844,1.975,,,,,0.3924,0.0447,0.0443,0.0629,,,,
1.2,0.2716,2.025,,,,,0.2638,0.043,0.031,0.053,,,,
1.2,0.2595,2.075,,,,,0.4548,0.042,0.039,0.0573,,,,
1.2,0.2482,2.125,,,,,0.3685,0.0411,0.035,0.054,,,,
1.2,0.2377,2.175,,,,,0.2776,0.0422,0.033,0.0536,,,,
1.2,0.2278,2.225,,,,,0.3526,0.0428,0.0295,0.052,,,,
1.2,0.2184,2.275,,,,,0.3182,0.0416,0.028,0.0501,,,,
1.2,0.2096,2.325,,,,,0.3114,0.0386,0.0265,0.0468,,,,
1.2,0.2014,2.375,,,,,0.2711,0.0357,0.0256,0.0439,,,,
1.2,0.1936,2.425,,,,,0.2625,0.0328,0.024,0.0406,,,,
1.2,0.1862,2.475,,,,,0.1979,0.0308,0.0236,0.0388,,,,
1.2,0.1793,2.525,,,,,0.2249,0.0299,0.0231,0.0378,,,,
1.2,0.1727,2.575,,,,,0.2459,0.0294,0.0227,0.0371,,,,
1.2,0.1665,2.625,,,,,0.2657,0.0296,0.0219,0.0368,,,,
1.2,0.1606,2.675,,,,,0.2705,0.0293,0.0219,0.0366,,,,
1.2,0.155,2.725,,,,,0.2234,0.0276,0.0218,0.0352,,,,
1.2,0.1496,2.775,,,,,0.1888,0.026,0.0218,0.0339,,,,
1.2,0.1446,2.825,,,,,0.1796,0.0275,0.0226,0.0356,,,,
1.2,0.1398,2.875,,,,,0.1783,0.0279,0.0237,0.0366,,,,
1.2,0.1352,2.925,,,,,0.1693,0.0281,0.0246,0.0373,,,,
1.2,0.1309,2.975,,,,,0.1216,0.0283,0.0245,0.0374,,,,
1.44,0.7895,1.125,,,,,0.0783,0.2515,0.0962,0.2693,,,,
1.44,0.7427,1.175,,,,,-0.2275,0.1094,0.0315,0.1138,,,,
1.44,0.6994,1.225,,,,,-0.0388,0.0778,0.0116,0.0787,,,,
1.44,0.6594,1.275,,,,,0.2245,0.0824,0.0185,0.0845,,,,
1.44,0.6223,1.325,,,,,0.1981,0.0872,0.0288,0.0918,,,,
1.44,0.588,1.375,,,,,0.1111,0.0907,0.0382,0.0984,,,,
1.44,0.5562,1.425,,,,,0.4224,0.0771,0.0395,0.0866,,,,
1.44,0.5267,1.475,,,,,0.6032,0.0696,0.0618,0.0931,,,,
1.44,0.4993,1.525,,,,,0.4658,0.056,0.0364,0.0668,,,,
1.44,0.4739,1.575,,,,,0.4805,0.055,0.0319,0.0636,,,,
1.44,0.4502,1.625,,,,,0.4328,0.0524,0.0304,0.0606,,,,
1.44,0.4281,1.675,,,,,0.3843,0.0513,0.0272,0.0581,,,,
1.44,0.4075,1.725,,,,,0.4789,0.0477,0.0309,0.0568,,,,
1.44,0.3883,1.775,,,,,0.3996,0.0478,0.0338,0.0585,,,,
1.44,0.3703,1.825,,,,,0.4388,0.0482,0.0417,0.0637,,,,
1.44,0.3535,1.875,,,,,0.2458,0.0447,0.0431,0.0621,,,,
1.44,0.3377,1.925,,,,,0.2682,0.0417,0.0444,0.0609,,,,
1.44,0.323,1.975,,,,,0.2877,0.0393,0.0455,0.0601,,,,
1.44,0.3091,2.025,,,,,0.3225,0.0385,0.031,0.0494,,,,
1.44,0.2961,2.075,,,,,0.304,0.0354,0.0391,0.0527,,,,
1.44,0.2838,2.125,,,,,0.2972,0.0359,0.0348,0.05,,,,
1.44,0.2723,2.175,,,,,0.332,0.0383,0.0326,0.0503,,,,
1.44,0.2614,2.225,,,,,0.3523,0.0388,0.0315,0.05,,,,
1.44,0.2511,2.275,,,,,0.3454,0.0357,0.0298,0.0465,,,,
1.44,0.2415,2.325,,,,,0.2513,0.0343,0.0292,0.045,,,,
1.44,0.2323,2.375,,,,,0.3296,0.0326,0.0288,0.0435,,,,
1.44,0.2236,2.425,,,,,0.2628,0.0317,0.0278,0.0422,,,,
1.44,0.2154,2.475,,,,,0.2731,0.0324,0.0268,0.042,,,,
1.44,0.2077,2.525,,,,,0.2461,0.0317,0.0266,0.0414,,,,
1.44,0.2003,2.575,,,,,0.3025,0.0323,0.0282,0.0429,,,,
1.44,0.1933,2.625,,,,,0.2805,0.0323,0.0287,0.0432,,,,
1.44,0.1867,2.675,,,,,0.2717,0.0312,0.0285,0.0423,,,,
1.44,0.1804,2.725,,,,,0.2992,0.0321,0.0289,0.0432,,,,
1.44,0.1744,2.775,,,,,0.2652,0.0298,0.0302,0.0424,,,,
1.44,0.1686,2.825,,,,,0.2665,0.0322,0.0351,0.0476,,,,
1.44,0.1632,2.875,,,,,0.2628,0.0291,0.0409,0.0502,,,,
1.44,0.158,2.925,,,,,0.2617,0.0358,0.0522,0.0633,,,,
1.71,0.8167,1.125,,,,,0.2085,0.315,0.1281,0.3401,,,,
1.71,0.7741,1.175,,,,,-0.342,0.1361,0.0397,0.1418,,,,
1.71,0.7343,1.225,,,,,-0.0562,0.0807,0.0119,0.0816,,,,
1.71,0.6969,1.275,,,,,0.1479,0.0794,0.02,0.0819,,,,
1.71,0.6618,1.325,,,,,0.1591,0.0825,0.0313,0.0882,,,,
1.71,0.6289,1.375,,,,,0.4748,0.0916,0.0405,0.1002,,,,
1.71,0.5981,1.425,,,,,0.3886,0.0801,0.0408,0.0899,,,,
1.71,0.5422,1.525,,,,,0.615,0.0587,0.0417,0.072,,,,
1.71,0.5168,1.575,,,,,0.3825,0.0575,0.0321,0.0659,,,,
1.71,0.493,1.625,,,,,0.4742,0.058,0.0344,0.0674,,,,
1.71,0.4706,1.675,,,,,0.4614,0.0548,0.0303,0.0626,,,,
1.71,0.4495,1.725,,,,,0.4568,0.0482,0.0327,0.0582,,,,
1.71,0.4298,1.775,,,,,0.5171,0.0487,0.0372,0.0613,,,,
1.71,0.4112,1.825,,,,,0.3595,0.0454,0.043,0.0625,,,,
1.71,0.3937,1.875,,,,,0.36,0.0429,0.047,0.0636,,,,
1.71,0.3772,1.925,,,,,0.3624,0.039,0.0469,0.061,,,,
1.71,0.3616,1.975,,,,,0.3297,0.0387,0.0473,0.0611,,,,
1.71,0.3469,2.025,,,,,0.3129,0.0363,0.0324,0.0487,,,,
1.71,0.3331,2.075,,,,,0.3317,0.0357,0.0427,0.0557,,,,
1.71,0.32,2.125,,,,,0.3558,0.0358,0.0375,0.0518,,,,
1.71,0.3076,2.175,,,,,0.3046,0.0352,0.0343,0.0491,,,,
1.71,0.2959,2.225,,,,,0.3384,0.0353,0.0333,0.0485,,,,
1.71,0.2848,2.275,,,,,0.3484,0.0345,0.0324,0.0473,,,,
1.71,0.2743,2.325,,,,,0.3261,0.0357,0.0328,0.0485,,,,
1.71,0.2643,2.375,,,,,0.3601,0.033,0.0316,0.0457,,,,
1.71,0.2549,2.425,,,,,0.2998,0.032,0.0314,0.0448,,,,
1.71,0.2459,2.475,,,,,0.2816,0.0299,0.031,0.0431,,,,
1.71,0.2374,2.525,,,,,0.3981,0.0308,0.0309,0.0436,,,,
1.71,0.2293,2.575,,,,,0.3125,0.031,0.0298,0.043,,,,
1.71,0.2215,2.625,,,,,0.3339,0.031,0.0304,0.0434,,,,
1.71,0.2142,2.675,,,,,0.2994,0.0302,0.0311,0.0434,,,,
1.71,0.2072,2.725,,,,,0.3256,0.0297,0.0343,0.0454,,,,
1.71,0.2005,2.775,,,,,0.2652,0.0287,0.0363,0.0463,,,,
1.71,0.1941,2.825,,,,,0.2752,0.0312,0.0436,0.0536,,,,
1.71,0.188,2.875,,,,,0.1964,0.0373,0.0445,0.0581,,,,
1.71,0.1822,2.925,,,,,0.2669,0.0648,0.0814,0.104,,,,
2.05,0.8043,1.175,,,,,-0.0857,0.1309,0.0261,0.1335,,,,
2.05,0.7681,1.225,,,,,0.0962,0.0922,0.0129,0.0931,,,,
2.05,0.7337,1.275,,,,,0.151,0.092,0.0236,0.095,,,,
2.05,0.7011,1.325,,,,,0.3314,0.0982,0.0381,0.1053,,,,
2.05,0.6702,1.375,,,,,0.5272,0.1136,0.0503,0.1242,,,,
2.05,0.6409,1.425,,,,,0.4717,0.0918,0.0427,0.1012,,,,
2.05,0.6131,1.475,,,,,0.5904,0.0794,0.0668,0.1038,,,,
2.05,0.5867,1.525,,,,,0.5637,0.0579,0.0434,0.0724,,,,
2.05,0.5618,1.575,,,,,0.4049,0.0539,0.0334,0.0634,,,,
2.05,0.5382,1.625,,,,,0.406,0.0531,0.0319,0.0619,,,,
2.05,0.5159,1.675,,,,,0.5831,0.0535,0.0304,0.0615,,,,
2.05,0.4947,1.725,,,,,0.5922,0.0525,0.0363,0.0638,,,,
2.05,0.4747,1.775,,,,,0.5368,0.0482,0.0371,0.0608,,,,
2.05,0.4557,1.825,,,,,0.3481,0.0479,0.0455,0.0661,,,,
2.05,0.4377,1.875,,,,,0.3053,0.0449,0.0488,0.0663,,,,
2.05,0.4206,1.925,,,,,0.3126,0.0441,0.049,0.0659,,,,
2.05,0.4044,1.975,,,,,0.4396,0.0443,0.0497,0.0666,,,,
2.05,0.3891,2.025,,,,,0.3569,0.0446,0.0363,0.0575,,,,
2.05,0.3745,2.075,,,,,0.4422,0.0424,0.0488,0.0646,,,,
2.05,0.3607,2.125,,,,,0.4429,0.0401,0.0427,0.0586,,,,
2.05,0.3475,2.175,,,,,0.4281,0.0398,0.0397,0.0562,,,,
2.05,0.335,2.225,,,,,0.397,0.0396,0.0387,0.0554,,,,
2.05,0.3231,2.275,,,,,0.3977,0.0362,0.036,0.0511,,,,
2.05,0.3118,2.325,,,,,0.3891,0.0353,0.0352,0.0499,,,,
2.05,0.3011,2.375,,,,,0.3315,0.0337,0.0337,0.0477,,,,
2.05,0.2908,2.425,,,,,0.4384,0.034,0.034,0.0481,,,,
2.05,0.2811,2.475,,,,,0.4016,0.0343,0.035,0.049,,,,
2.05,0.2717,2.525,,,,,0.3131,0.0329,0.0339,0.0472,,,,
2.05,0.2629,2.575,,,,,0.3589,0.0303,0.0349,0.0462,,,,
2.05,0.2544,2.625,,,,,0.3726,0.0283,0.0356,0.0455,,,,
2.05,0.2463,2.675,,,,,0.305,0.0282,0.0369,0.0464,,,,
2.05,0.2385,2.725,,,,,0.3169,0.0316,0.0419,0.0525,,,,
2.05,0.2311,2.775,,,,,0.2943,0.0368,0.0478,0.0603,,,,
2.05,0.2241,2.825,,,,,0.3758,0.0546,0.0745,0.0924,,,,
2.05,0.2173,2.875,,,,,0.1455,0.0762,0.0538,0.0933,,,,
2.44,0.8641,1.125,,,,,-0.2497,0.3963,0.1159,0.4129,,,,
2.44,0.8302,1.175,,,,,-0.0131,0.1679,0.0312,0.1708,,,,
2.44,0.7977,1.225,,,,,-0.2643,0.1087,0.0193,0.1104,,,,
2.44,0.7664,1.275,,,,,0.1545,0.1023,0.0307,0.1068,,,,
2.44,0.7363,1.325,,,,,0.3538,0.1171,0.0526,0.1284,,,,
2.44,0.7075,1.375,,,,,0.3941,0.1084,0.0517,0.1201,,,,
2.44,0.6799,1.425,,,,,0.5215,0.0939,0.0431,0.1033,,,,
2.44,0.6535,1.475,,,,,0.4799,0.0778,0.0533,0.0943,,,,
2.44,0.6282,1.525,,,,,0.5244,0.0657,0.0463,0.0804,,,,
2.44,0.6041,1.575,,,,,0.4963,0.0641,0.0395,0.0753,,,,
2.44,0.5811,1.625,,,,,0.5087,0.061,0.0361,0.0709,,,,
2.44,0.5591,1.675,,,,,0.4983,0.056,0.0309,0.064,,,,
2.44,0.5382,1.725,,,,,0.5123,0.0521,0.037,0.0639,,,,
2.44,0.5182,1.775,,,,,0.4503,0.0488,0.0362,0.0608,,,,
2.44,0.4991,1.825,,,,,0.3899,0.0468,0.0481,0.0671,,,,
2.44,0.4809,1.875,,,,,0.377,0.046,0.0514,0.069,,,,
2.44,0.4635,1.925,,,,,0.3458,0.0475,0.0507,0.0695,,,,
2.44,0.447,1.975,,,,,0.3823,0.0462,0.0495,0.0677,,,,
2.44,0.4312,2.025,,,,,0.3689,0.0421,0.0346,0.0545,,,,
2.44,0.4161,2.075,,,,,0.4662,0.0424,0.0516,0.0668,,,,
2.44,0.4017,2.125,,,,,0.4757,0.041,0.045,0.0609,,,,
2.44,0.388,2.175,,,,,0.4296,0.0424,0.0427,0.0602,,,,
2.44,0.3749,2.225,,,,,0.4866,0.04,0.0401,0.0566,,,,
2.44,0.3623,2.275,,,,,0.4174,0.0387,0.0387,0.0547,,,,
2.44,0.3504,2.325,,,,,0.4466,0.0361,0.0377,0.0522,,,,
2.44,0.3389,2.375,,,,,0.3751,0.0328,0.0353,0.0482,,,,
2.44,0.328,2.425,,,,,0.3643,0.0324,0.036,0.0484,,,,
2.44,0.3175,2.475,,,,,0.3362,0.0291,0.0344,0.0451,,,,
2.44,0.3075,2.525,,,,,0.3713,0.0293,0.0354,0.046,,,,
2.44,0.298,2.575,,,,,0.3257,0.0302,0.0358,0.0468,,,,
2.44,0.2888,2.625,,,,,0.4098,0.0363,0.0443,0.0573,,,,
2.44,0.28,2.675,,,,,0.3786,0.0407,0.0505,0.0649,,,,
2.44,0.2716,2.725,,,,,0.3794,0.0494,0.0661,0.0825,,,,
2.44,0.2635,2.775,,,,,0.2408,0.0643,0.0569,0.0859,,,,
2.44,0.2558,2.825,,,,,0.3176,0.1433,0.0999,0.1747,,,,
2.44,0.2484,2.875,,,,,-0.4126,0.4952,0.1196,0.5094,,,,
2.92,0.8838,1.125,,,,,-0.2928,0.3672,0.0948,0.3792,,,,
2.92,0.8541,1.175,,,,,-0.1137,0.2076,0.0404,0.2115,,,,
2.92,0.8251,1.225,,,,,-0.096,0.1538,0.0213,0.1553,,,,
2.92,0.797,1.275,,,,,-0.1399,0.1191,0.0367,0.1246,,,,
2.92,0.7697,1.325,,,,,0.2229,0.1062,0.0501,0.1174,,,,
2.92,0.7432,1.375,,,,,0.3149,0.0939,0.0528,0.1077,,,,
2.92,0.7176,1.425,,,,,0.3084,0.0829,0.0397,0.0919,,,,
2.92,0.6929,1.475,,,,,0.5439,0.082,0.0551,0.0988,,,,
2.92,0.6691,1.525,,,,,0.4855,0.0759,0.0501,0.0909,,,,
2.92,0.6462,1.575,,,,,0.5154,0.0753,0.0449,0.0877,,,,
2.92,0.6241,1.625,,,,,0.4996,0.0689,0.0378,0.0786,,,,
2.92,0.6028,1.675,,,,,0.5521,0.0615,0.0323,0.0695,,,,
2.92,0.5824,1.725,,,,,0.5443,0.0559,0.0392,0.0683,,,,
2.92,0.5627,1.775,,,,,0.4965,0.0547,0.0378,0.0665,,,,
2.92,0.5439,1.825,,,,,0.4795,0.055,0.0512,0.0751,,,,
2.92,0.5258,1.875,,,,,0.5372,0.0559,0.0551,0.0785,,,,
2.92,0.5084,1.925,,,,,0.4851,0.0555,0.0535,0.0771,,,,
2.92,0.4917,1.975,,,,,0.4057,0.052,0.052,0.0735,,,,
2.92,0.4757,2.025,,,,,0.4441,0.0471,0.0388,0.061,,,,
2.92,0.4603,2.075,,,,,0.5125,0.0442,0.0576,0.0726,,,,
2.92,0.4455,2.125,,,,,0.3975,0.0409,0.0477,0.0628,,,,
2.92,0.4314,2.175,,,,,0.4863,0.0406,0.0437,0.0596,,,,
2.92,0.4178,2.225,,,,,0.3955,0.0374,0.0399,0.0547,,,,
2.92,0.4048,2.275,,,,,0.4338,0.0372,0.0398,0.0545,,,,
2.92,0.3923,2.325,,,,,0.481,0.0363,0.0388,0.0531,,,,
2.92,0.3803,2.375,,,,,0.4113,0.0384,0.0412,0.0563,,,,
2.92,0.3687,2.425,,,,,0.4878,0.0412,0.0423,0.059,,,,
2.92,0.3577,2.475,,,,,0.4252,0.0438,0.0454,0.0631,,,,
2.92,0.347,2.525,,,,,0.3977,0.0508,0.0448,0.0677,,,,
2.92,0.3368,2.575,,,,,0.5137,0.0576,0.0612,0.084,,,,
2.92,0.327,2.625,,,,,0.7556,0.0745,0.0979,0.123,,,,
2.92,0.3176,2.675,,,,,0.4495,0.1132,0.0794,0.1383,,,,
2.92,0.3085,2.725,,,,,0.3303,0.2744,0.077,0.285,,,,
3.48,0.8746,1.175,,,,,-0.3692,0.2656,0.0568,0.2716,,,,
3.48,0.849,1.225,,,,,0.046,0.2268,0.0367,0.2298,,,,
3.48,0.8239,1.275,,,,,0.2497,0.1486,0.0472,0.1559,,,,
3.48,0.7993,1.325,,,,,0.4642,0.1756,0.0929,0.1987,,,,
3.48,0.7752,1.375,,,,,0.3795,0.1348,0.0708,0.1523,,,,
3.48,0.7518,1.425,,,,,0.6004,0.1241,0.0515,0.1344,,,,
3.48,0.7068,1.525,,,,,0.4527,0.0662,0.0443,0.0797,,,,
3.48,0.6852,1.575,,,,,0.3503,0.0596,0.0383,0.0708,,,,
3.48,0.6643,1.625,,,,,0.3374,0.0601,0.0358,0.07,,,,
3.48,0.644,1.675,,,,,0.4631,0.0663,0.0358,0.0753,,,,
3.48,0.6243,1.725,,,,,0.5524,0.0682,0.0397,0.0789,,,,
3.48,0.6053,1.775,,,,,0.4787,0.064,0.0383,0.0746,,,,
3.48,0.587,1.825,,,,,0.5232,0.0625,0.053,0.0819,,,,
3.48,0.5692,1.875,,,,,0.4507,0.0583,0.0561,0.0809,,,,
3.48,0.552,1.925,,,,,0.4177,0.055,0.0539,0.077,,,,
3.48,0.5355,1.975,,,,,0.3754,0.0488,0.0515,0.0709,,,,
3.48,0.5195,2.025,,,,,0.4781,0.0468,0.0394,0.0612,,,,
3.48,0.5041,2.075,,,,,0.516,0.0452,0.0626,0.0772,,,,
3.48,0.4892,2.125,,,,,0.5054,0.0481,0.0557,0.0736,,,,
3.48,0.4748,2.175,,,,,0.4639,0.0483,0.0509,0.0702,,,,
3.48,0.461,2.225,,,,,0.5234,0.046,0.0448,0.0642,,,,
3.48,0.4477,2.275,,,,,0.4031,0.0435,0.0406,0.0595,,,,
3.48,0.4348,2.325,,,,,0.4761,0.0496,0.0411,0.0644,,,,
3.48,0.4224,2.375,,,,,0.4851,0.0628,0.0467,0.0783,,,,
3.48,0.4104,2.425,,,,,0.5603,0.0744,0.048,0.0885,,,,
3.48,0.3989,2.475,,,,,0.4787,0.0797,0.0498,0.094,,,,
3.48,0.3878,2.525,,,,,0.2444,0.1117,0.0394,0.1184,,,,
3.48,0.3771,2.575,,,,,0.6318,0.1974,0.0855,0.2151,,,,
4.16,0.9155,1.125,,,,,-0.1569,0.3545,0.1066,0.3702,,,,
4.16,0.8929,1.175,,,,,-0.4426,0.2032,0.0841,0.2199,,,,
4.16,0.8705,1.225,,,,,0.19,0.1407,0.044,0.1474,,,,
4.16,0.8483,1.275,,,,,0.1834,0.1799,0.0473,0.186,,,,
4.16,0.8264,1.325,,,,,0.319,0.1889,0.058,0.1976,,,,
4.16,0.7836,1.425,,,,,0.3891,0.1541,0.0728,0.1704,,,,
4.16,0.7423,1.525,,,,,0.671,0.1239,0.0688,0.1417,,,,
4.16,0.7224,1.575,,,,,0.6241,0.1113,0.0649,0.1288,,,,
4.16,0.7028,1.625,,,,,0.5426,0.0942,0.048,0.1057,,,,
4.16,0.6838,1.675,,,,,0.7117,0.0836,0.0581,0.1018,,,,
4.16,0.6652,1.725,,,,,0.6846,0.0764,0.04,0.0862,,,,
4.16,0.6471,1.775,,,,,0.7198,0.0762,0.0461,0.0891,,,,
4.16,0.6295,1.825,,,,,0.6258,0.0739,0.0581,0.094,,,,
4.16,0.6123,1.875,,,,,0.5717,0.0736,0.059,0.0943,,,,
4.16,0.5957,1.925,,,,,0.5454,0.0678,0.056,0.0879,,,,
4.16,0.5795,1.975,,,,,0.3985,0.069,0.0534,0.0872,,,,
4.16,0.5638,2.025,,,,,0.4302,0.0677,0.0459,0.0818,,,,
4.16,0.5485,2.075,,,,,0.63,0.0694,0.0717,0.0998,,,,
4.16,0.5338,2.125,,,,,0.6182,0.0713,0.0555,0.0904,,,,
4.16,0.5194,2.175,,,,,0.4307,0.0772,0.0411,0.0875,,,,
4.16,0.5055,2.225,,,,,0.4877,0.0847,0.0394,0.0934,,,,
4.16,0.4921,2.275,,,,,0.6281,0.0979,0.0452,0.1078,,,,
4.16,0.479,2.325,,,,,0.5724,0.1373,0.0486,0.1456,,,,
4.16,0.4664,2.375,,,,,0.5348,0.2509,0.055,0.2569,,,,
4.96,0.9086,1.175,,,,,-0.2758,0.2461,0.2162,0.3276,,,,
4.96,0.8891,1.225,,,,,0.0012,0.2606,0.0683,0.2694,,,,
4.96,0.8696,1.275,,,,,0.4397,0.1841,0.3816,0.4237,,,,
4.96,0.8502,1.325,,,,,0.3016,0.1266,0.283,0.31,,,,
4.96,0.831,1.375,,,,,0.4375,0.1402,0.2793,0.3125,,,,
4.96,0.8119,1.425,,,,,0.2996,0.1374,0.1067,0.174,,,,
4.96,0.7931,1.475,,,,,0.4316,0.1162,0.0497,0.1264,,,,
4.96,0.7745,1.525,,,,,0.3765,0.1008,0.1051,0.1456,,,,
4.96,0.7562,1.575,,,,,0.2885,0.0943,0.0674,0.1159,,,,
4.96,0.7382,1.625,,,,,0.5978,0.0989,0.0741,0.1236,,,,
4.96,0.7205,1.675,,,,,0.5988,0.0939,0.0512,0.107,,,,
4.96,0.7032,1.725,,,,,0.5027,0.085,0.0484,0.0978,,,,
4.96,0.6861,1.775,,,,,0.5737,0.0963,0.0468,0.1071,,,,
4.96,0.6695,1.825,,,,,0.4364,0.1302,0.052,0.1402,,,,
4.96,0.6532,1.875,,,,,0.5831,0.1406,0.0552,0.151,,,,
4.96,0.6372,1.925,,,,,0.3989,0.1373,0.0528,0.1471,,,,
4.96,0.6216,1.975,,,,,0.3643,0.1446,0.0506,0.1532,,,,
4.96,0.5916,2.075,,,,,0.1238,0.2215,0.0693,0.2321,,,,
0.0496,0.1115,1.13,,,,,-0.058,0.3877,0.1329,0.4098,,,,
0.0496,0.1011,1.15,,,,,-0.3474,0.2391,0.1036,0.2606,,,,
0.0496,0.0924,1.17,,,,,-0.2005,0.1525,0.0753,0.1701,,,,
0.0496,0.0849,1.19,,,,,-0.1824,0.1108,0.0655,0.1287,,,,
0.0496,0.0785,1.21,,,,,-0.2622,0.086,0.0623,0.1062,,,,
0.0496,0.0729,1.23,,,,,-0.1483,0.0812,0.0617,0.102,,,,
0.0496,0.0679,1.25,,,,,-0.251,0.0861,0.0653,0.1081,,,,
0.0496,0.0635,1.27,,,,,-0.087,0.0991,0.0692,0.1209,,,,
0.0496,0.0596,1.29,,,,,0.0979,0.1077,0.0714,0.1292,,,,
0.0496,0.0561,1.31,,,,,-0.2286,0.1147,0.0739,0.1364,,,,
0.0496,0.0529,1.33,,,,,-0.1323,0.1131,0.0666,0.1313,,,,
0.0496,0.0501,1.35,,,,,-0.124,0.1163,0.0603,0.131,,,,
0.0496,0.0475,1.37,,,,,-0.1432,0.1144,0.0552,0.127,,,,
0.0496,0.0451,1.39,,,,,-0.1613,0.1161,0.0524,0.1274,,,,
0.0496,0.0429,1.41,,,,,-0.269,0.1115,0.0612,0.1272,,,,
0.0496,0.0409,1.43,,,,,-0.1398,0.1066,0.0474,0.1167,,,,
0.0496,0.039,1.45,,,,,-0.022,0.0938,0.0474,0.1051,,,,
0.0496,0.0373,1.47,,,,,0.0016,0.0805,0.049,0.0942,,,,
0.0496,0.0357,1.49,,,,,0.0667,0.0697,0.0477,0.0845,,,,
0.0496,0.0343,1.51,,,,,-0.2118,0.0646,0.0449,0.0787,,,,
0.0496,0.0329,1.53,,,,,-0.0437,0.0637,0.0421,0.0764,,,,
0.0496,0.0316,1.55,,,,,-0.1106,0.0693,0.0387,0.0794,,,,
0.0496,0.0304,1.57,,,,,0.0628,0.0761,0.0327,0.0828,,,,
0.0496,0.0292,1.59,,,,,-0.0339,0.0809,0.0251,0.0847,,,,
0.0496,0.0282,1.61,,,,,-0.0474,0.0833,0.0203,0.0857,,,,
0.0496,0.0272,1.63,,,,,-0.1079,0.0844,0.0214,0.0871,,,,
0.0496,0.0262,1.65,,,,,-0.2121,0.0817,0.0251,0.0855,,,,
0.0592,0.1445,1.11,,,,,-0.0353,0.3852,0.1876,0.4285,,,,
0.0592,0.1303,1.13,,,,,0.2718,0.2099,0.1562,0.2616,,,,
0.0592,0.1184,1.15,,,,,-0.081,0.1357,0.0937,0.1649,,,,
0.0592,0.1084,1.17,,,,,-0.2314,0.0963,0.0704,0.1193,,,,
0.0592,0.0997,1.19,,,,,-0.1896,0.074,0.0577,0.0938,,,,
0.0592,0.0923,1.21,,,,,-0.2142,0.0628,0.0538,0.0827,,,,
0.0592,0.0857,1.23,,,,,-0.2112,0.0596,0.0522,0.0792,,,,
0.0592,0.08,1.25,,,,,-0.0651,0.068,0.0452,0.0817,,,,
0.0592,0.0749,1.27,,,,,-0.2555,0.0816,0.0457,0.0935,,,,
0.0592,0.0703,1.29,,,,,-0.0736,0.1002,0.0514,0.1126,,,,
0.0592,0.0662,1.31,,,,,-0.0136,0.1088,0.0553,0.122,,,,
0.0592,0.0626,1.33,,,,,0.0381,0.1108,0.057,0.1246,,,,
0.0592,0.0592,1.35,,,,,0.0075,0.1127,0.0531,0.1246,,,,
0.0592,0.0562,1.37,,,,,0.0162,0.1149,0.0489,0.1249,,,,
0.0592,0.0534,1.39,,,,,-0.0314,0.113,0.043,0.1209,,,,
0.0592,0.0508,1.41,,,,,0.0697,0.109,0.0452,0.118,,,,
0.0592,0.0484,1.43,,,,,-0.0986,0.0964,0.0407,0.1046,,,,
0.0592,0.0463,1.45,,,,,-0.1416,0.0864,0.0423,0.0962,,,,
0.0592,0.0442,1.47,,,,,-0.0067,0.0744,0.0426,0.0857,,,,
0.0592,0.0424,1.49,,,,,-0.0675,0.0656,0.041,0.0774,,,,
0.0592,0.0406,1.51,,,,,-0.0944,0.062,0.0385,0.073,,,,
0.0592,0.039,1.53,,,,,-0.0337,0.0664,0.0364,0.0757,,,,
0.0592,0.0375,1.55,,,,,-0.1304,0.0734,0.0334,0.0806,,,,
0.0592,0.036,1.57,,,,,-0.1481,0.078,0.0295,0.0834,,,,
0.0592,0.0347,1.59,,,,,0.0852,0.0841,0.0234,0.0873,,,,
0.0592,0.0334,1.61,,,,,-0.0732,0.0836,0.0194,0.0858,,,,
0.0592,0.0323,1.63,,,,,-0.0393,0.076,0.018,0.0781,,,,
0.0592,0.0312,1.65,,,,,-0.1832,0.0718,0.0225,0.0752,,,,
0.0707,0.1679,1.11,,,,,0.1069,0.3137,0.195,0.3694,,,,
0.0707,0.1518,1.13,,,,,-0.277,0.2016,0.1455,0.2486,,,,
0.0707,0.1382,1.15,,,,,0.1331,0.1432,0.0897,0.169,,,,
0.0707,0.1267,1.17,,,,,-0.2745,0.1048,0.0544,0.1181,,,,
0.0707,0.1168,1.19,,,,,-0.3133,0.0783,0.038,0.087,,,,
0.0707,0.1083,1.21,,,,,-0.4328,0.0617,0.0371,0.072,,,,
